country,country_code,firm_age_years,employees,competition_pct,exporter_pct,training_pct,access_finance_pct,export_sales_pct,labor_productivity_growth,sales_growth,successful
Afghanistan,AFG,9.5,24.9,41.5,2.3,31.7,2.0,1.3,-1.3,3.0,1
Albania,ALB,11.850000000000001,23.950000000000003,45.5,11.8,36.650000000000006,16.95,7.65,-4.6,-0.19999999999999996,0
Argentina,ARG,26.7,38.9,72.5,6.8,40.2,40.9,2.3,-6.5,-6.6,0
Armenia,ARM,14.2,49.849999999999994,22.7,10.75,23.7,22.6,5.699999999999999,1.1500000000000001,3.25,1
Azerbaijan,AZE,13.55,38.7,24.75,5.15,26.85,12.2,2.0,-8.15,-4.0,0
Bangladesh,BGD,18.5,184.9,39.4,17.9,21.9,19.8,14.9,-2.3,2.4,1
Belarus,BLR,16.0,56.150000000000006,32.5,15.6,40.9,25.75,7.95,2.45,4.35,1
Belgium,BEL,33.2,24.0,19.2,28.9,57.8,51.6,14.8,-0.5,2.3,0
Benin,BEN,16.4,51.0,66.8,17.8,20.0,12.0,11.0,-9.2,-6.5,0
Bhutan,BTN,14.7,21.5,7.2,3.4,26.0,32.2,2.4,4.4,13.4,1
Bolivia,BOL,19.1,30.5,78.9,7.5,49.9,37.0,7.2,-3.1,11.6,1
Bosnia and Herzegovina,BIH,19.25,42.2,44.55,26.8,45.25,39.0,13.850000000000001,0.44999999999999996,1.5,0
Bulgaria,BGR,15.65,29.4,55.45,19.8,30.35,40.5,12.850000000000001,-0.44999999999999996,-1.9500000000000002,0
Burundi,BDI,15.5,44.4,51.3,7.5,32.0,29.9,2.2,-16.6,-9.5,0
Cambodia,KHM,12.399999999999999,52.75,77.8,7.4,45.050000000000004,5.2,6.85,-4.9,0.3,0
Cameroon,CMR,20.8,23.3,80.3,8.8,37.6,15.8,2.3,-1.9,4.3,1
Central African Republic,CAF,11.7,23.0,66.7,12.1,49.7,25.3,3.0,2.6,12.1,1
Chad,TCD,13.0,14.1,80.0,8.0,22.9,7.3,2.6,-3.2,-3.3,0
China,CHN,11.3,62.7,57.7,10.3,79.2,14.7,5.4,-3.3,5.4,1
Colombia,COL,18.6,39.5,66.1,8.5,63.0,53.6,3.5,3.3,10.5,1
"Congo, Dem. Rep.",COD,10.1,15.8,78.4,4.9,17.0,7.1,1.7,0.2,5.9,1
Cote d'Ivoire,CIV,17.0,32.6,75.6,6.2,35.5,23.6,2.7,-16.3,-12.1,0
Croatia,HRV,19.049999999999997,34.05,32.05,19.450000000000003,37.85,21.0,9.0,-3.1500000000000004,-0.95,0
Cyprus,CYP,27.4,22.9,44.0,6.2,39.7,21.4,3.5,6.9,11.9,1
Czech Republic,CZE,17.85,32.85,29.8,31.349999999999998,49.1,34.35,13.75,2.6,3.7,1
Djibouti,DJI,15.8,27.4,22.2,14.9,21.8,24.3,8.7,-3.1,0.1,0
Dominican Republic,DOM,20.2,45.9,61.1,5.4,23.4,38.6,2.8,0.7,7.9,1
Ecuador,ECU,18.1,39.3,67.1,3.2,73.7,35.6,1.9,-2.4,-1.4,0
"Egypt, Arab Rep.",EGY,18.8,36.3,43.333333333333336,7.166666666666667,7.7,11.266666666666666,3.733333333333334,-6.133333333333333,-5.133333333333333,0
El Salvador,SLV,21.7,31.4,67.7,8.6,53.8,25.2,2.9,1.5,2.7,1
Estonia,EST,15.95,23.55,31.0,29.75,38.8,31.4,15.15,2.95,5.7,1
Eswatini,SWZ,18.4,34.4,73.5,10.5,36.1,30.4,2.2,-5.6,0.7,0
Ethiopia,ETH,11.15,47.65,30.2,5.55,25.4,14.75,4.15,-8.2,2.75,1
"Gambia, The",GMB,14.1,18.7,71.1,6.2,25.2,10.1,3.0,-2.3,8.3,1
Georgia,GEO,9.95,31.049999999999997,39.349999999999994,7.2,21.55,29.05,4.25,-0.75,3.5500000000000003,1
Ghana,GHA,14.9,25.5,69.4,8.0,40.1,21.2,3.8,4.9,9.2,1
Greece,GRC,19.4,19.3,41.9,15.7,21.6,8.3,7.5,0.2,4.3,1
Guatemala,GTM,28.5,34.1,77.1,6.2,55.7,37.6,2.2,-0.7,1.5,0
Guinea,GIN,10.0,19.0,75.7,1.7,16.0,9.2,1.4,-0.3,10.6,1
Honduras,HND,20.9,30.3,72.5,5.8,47.7,37.4,2.6,-2.0,0.2,0
Hungary,HUN,16.8,27.45,14.9,15.45,21.95,27.85,7.0,2.75,3.5999999999999996,1
India,IND,16.6,52.4,50.1,6.9,35.9,30.3,3.7,-3.1,2.0,0
Indonesia,IDN,19.0,21.6,65.0,6.4,7.7,36.6,3.5,-0.7,-0.4,0
Iraq,IRQ,10.5,11.4,49.3,0.6,22.2,2.7,0.4,-49.2,-44.1,0
Israel,ISR,22.4,30.2,17.4,12.7,18.6,46.4,6.4,-1.9,2.8,1
Italy,ITA,23.9,22.6,22.2,11.9,12.6,52.5,4.2,1.9,4.1,1
Jordan,JOR,18.75,36.15,34.6,24.1,10.149999999999999,43.0,11.350000000000001,-7.85,-5.65,0
Kazakhstan,KAZ,10.95,28.799999999999997,36.55,2.75,25.6,14.0,1.4,-11.0,-5.9,0
Kenya,KEN,19.25,41.2,64.05,16.7,39.0,37.400000000000006,8.2,-14.5,-11.3,0
Kosovo,XKX,14.55,25.5,39.75,16.35,35.849999999999994,33.75,5.5,4.5,8.0,1
Kyrgyz Republic,KGZ,15.5,52.6,47.95,9.7,52.099999999999994,16.25,5.45,-5.95,-2.65,0
Lao PDR,LAO,13.833333333333334,25.2,53.133333333333326,10.866666666666667,19.8,15.033333333333333,7.233333333333333,-9.799999999999999,-9.1,0
Latvia,LVA,16.05,22.75,32.25,25.1,39.55,15.05,12.5,-0.15000000000000002,2.8000000000000003,1
Lebanon,LBN,24.049999999999997,26.8,56.7,24.5,23.700000000000003,46.0,9.5,-4.85,-6.65,0
Lesotho,LSO,14.7,56.9,68.1,9.8,31.2,51.8,5.6,-5.7,-1.5,0
Liberia,LBR,14.3,28.4,68.7,3.1,22.8,19.4,0.9,9.1,27.8,1
Lithuania,LTU,14.75,24.25,51.55,22.4,34.75,24.0,12.3,6.4,8.15,1
Luxembourg,LUX,25.6,40.2,14.0,44.9,66.1,33.8,24.1,0.7,5.7,1
Madagascar,MDG,17.1,65.8,71.7,16.8,12.7,13.0,13.5,2.1,-0.8,0
Malawi,MWI,18.3,48.0,71.7,7.9,32.9,30.3,2.4,-12.1,-9.6,0
Malaysia,MYS,16.1,32.5,39.8,11.2,18.5,35.3,5.0,-0.3,0.3,0
Mali,MLI,20.7,38.0,79.5,9.5,17.7,55.1,1.9,7.1,10.1,1
Malta,MLT,30.7,38.2,26.8,20.2,49.9,28.9,15.0,-0.2,3.1,1
Mauritania,MRT,15.4,47.6,78.5,18.4,52.7,12.8,15.3,-2.6,4.7,1
Moldova,MDA,15.4,29.9,35.95,8.85,36.6,21.6,4.25,-7.3500000000000005,-8.2,0
Mongolia,MNG,13.75,32.3,31.6,3.85,63.0,35.15,2.65,-11.35,-4.9,0
